date,sm5,sm10,sm20,sm40,st5,st10,st20,st40,nodes,obs48
2021-01-08,0.1037202,0.1401574,0.1250093,0.1106929,-9.43708,-8.34104,-6.92333,-3.77292,10,48
2021-01-09,0.1033091,0.1393256,0.1242708,0.1096603,-9.47875,-8.50333,-7.2025,-4.09479,10,48
2021-01-10,0.1035248,0.1392942,0.1241126,0.1090113,-9.25813,-8.37854,-7.20812,-4.27208,10,48
2021-01-11,0.1044249,0.1399165,0.1243118,0.1086543,-8.69,-7.965,-6.98792,-4.32313,10,48
2021-01-12,0.1056375,0.1408579,0.1247831,0.1087144,-8.01167,-7.42063,-6.60417,-4.23875,10,48
2021-01-13,0.106962,0.142164,0.1256971,0.1092133,-7.31083,-6.71792,-5.99937,-3.98125,10,48
2021-01-14,0.1062983,0.1417268,0.1256133,0.1093754,-7.65542,-6.96646,-6.07646,-3.90146,10,48
2021-01-15,0.1072111,0.142324,0.1258918,0.1094035,-7.15063,-6.58813,-5.88458,-3.89354,10,48
2021-01-16,0.1059735,0.1414859,0.1256433,0.1093772,-7.85042,-7.08917,-6.10271,-3.8975,10,48
2021-01-17,0.1055995,0.1409119,0.1251862,0.1088431,-8.08646,-7.38458,-6.41333,-4.10729,10,48
2021-01-18,0.1053232,0.1406687,0.1249762,0.1085102,-8.19979,-7.47979,-6.5225,-4.2325,10,48
2021-01-19,0.1038593,0.1393036,0.1240306,0.108032,-8.98792,-8.14958,-7.01521,-4.45958,10,48
2021-01-20,0.1056687,0.1402487,0.1241585,0.1075646,-7.89583,-7.50896,-6.82792,-4.64083,10,48
2021-01-21,0.1090001,0.1431601,0.1260251,0.108292,-6.22271,-5.97958,-5.65667,-4.20375,10,48
2021-01-22,0.1093857,0.1439746,0.1270673,0.1090517,-6.06375,-5.64729,-5.18458,-3.77375,10,48
2021-01-23,0.1084991,0.1432741,0.1269081,0.109266,-6.56208,-6.01958,-5.34083,-3.675,10,48
2021-01-24,0.1089485,0.1435435,0.1269513,0.1092694,-6.31125,-5.87167,-5.29542,-3.69292,10,48
2021-01-25,0.1096451,0.1442749,0.1273376,0.1094787,-5.895,-5.51312,-5.03146,-3.58521,10,48
2021-01-26,0.1108842,0.1452924,0.1280115,0.1098803,-5.38312,-5.06167,-4.67854,-3.40771,10,48
